"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Tesla","Model S",2019,"USD 79,990 (USA, Jul 2019)GBP 78,000 (UK, Jul 2019)EUR 90,800 (EU, Jul 2019)AUD 146,140 (AU, Jul 2019)CNY 806,300 (China, Jul 2019)",320,479,770,2215,100,250,4.3,632,539,NA
"Tesla","Model 3",2018,NA,370,202,NA,1672,65,201,5.9,NA,434.5,NA
"Tesla","Model 3",2018,NA,370,349,NA,1860,79.5,249,3.5,NA,498.9,NA
"Tesla","Model 3",2018,NA,370,335,NA,1847,79.5,233,4.8,NA,498.9,NA
"Tesla","Model 3",2018,NA,370,202,NA,1753,79.5,225,5.4,NA,498.9,NA
"Tesla","Model S",2018,NA,320,568,930,2241,100,250,2.4,613,506.9,NA
"Tesla","Model S",2018,NA,320,478,770,2215,100,250,3.8,632,539,NA
"Tesla","Model S",2018,NA,320,386,660,2027,75,225,4.4,490,416.8,NA
"Tesla","Model X",2018,NA,320,568,990,2487,100,250,3.1,542,465,NA
"Tesla","Model X",2018,NA,320,386,660,2459,100,250,4.9,565,475,NA
"Tesla","Model X",2018,NA,320,386,660,2352,75,209,5.2,417,381.4,NA
"Tesla","Model 3",2017,NA,370,192,NA,1753,79.5,225,5.4,NA,498.9,NA
"Tesla","Model S",2017,NA,320,568,980,2215,100,250,3.8,632,539,NA
"Tesla","Model S",2017,NA,320,568,930,2241,100,250,2.4,613,506.9,NA
"Tesla","Model S",2017,NA,375,386,660,2199,90,250,4,528,473,NA
"Tesla","Model S",2017,NA,320,386,660,2027,75,225,4.4,490,416.8,NA
"Tesla","Model S",2017,NA,320,285,440,2027,75,225,4.5,480,400.7,NA
"Tesla","Model S",2017,NA,320,386,660,2027,75,209,5.5,NA,350.8,NA
"Tesla","Model S",2017,NA,320,285,440,2027,60,209,5.7,375,338,NA
"Tesla","Model X",2017,NA,320,386,660,2459,100,250,5.4,565,475,NA
"Tesla","Model X",2017,NA,320,568,990,2487,100,250,3.1,542,465,NA
"Tesla","Model X",2017,NA,320,386,660,2389,90,250,5,489,413.6,NA
"Tesla","Model X",2017,NA,320,386,660,2352,75,209,6.2,417,381.4,NA
